id,study_id,authors,first_author,title,short_title,journal,year,doi,source,search_date
15,Arora et al. (2025),"Arora M, Tapasvi S, Shukla T, Garg S, Shah J",Arora ,Peroneus Longus to Peroneus Brevis Tenodesis Does Not Improve Ankle Functional Outcomes: A Prospective Cohort Study,peroneuslongustoperoneusbrevistenodesisd,Indian J Orthop,2025,10.1007/s43465-025-01361-1,PubMed/MEDLINE,2025-10-12
16,Chen et al. (2025),"Chen C, Jing Z, Li Z, Hu M, Bei C, Xin L",Chen ,Comparative efficacy of different lengths of anterior cruciate ligament stump during reconstruction with peroneus longus tendon,comparativeefficacyofdifferentlengthsofa,BMC Surg,2025,10.1186/s12893-025-02913-w,PubMed/MEDLINE,2025-10-12
18,Adi et al. (2025),"Adi MM, Mohamed AMY, Abdulgadir M, Meda MR, Mohamed NAS, AlKhyeli J",Adi ,"Management of a complex multiligament knee injury: Simultaneous reconstruction of ACL, PCL, and both meniscal roots",managementofacomplexmultiligamentkneeinj,Int J Surg Case Rep,2025,10.1016/j.ijscr.2025.111150,PubMed/MEDLINE,2025-10-12
19,Khalil & Zawam (2025),"Khalil MH, Zawam SH",Khalil ,Comparative study of Peroneus longus tendon autograft versus Hamstring tendon autograft in arthroscopic anterior cruciate ligament reconstruction,comparativestudyofperoneuslongustendonau,Int Orthop,2025,10.1007/s00264-025-06468-6,PubMed/MEDLINE,2025-10-12
21,Pontoh et al. (2025),"Pontoh LAP, Dilogo IH, Kamal AF, Rhatomy S, Putra A, Fiolin J, Herdiman JA, Pontoh EW",Pontoh ,Anterior Knee Pain Evaluation Following Anterior Cruciate Ligament (ACL) Reconstruction Using Anterior Half of The Peroneus Longus (AHPL) Autograft,anteriorkneepainevaluationfollowinganter,Orthop Res Rev,2025,10.2147/ORR.S495410,PubMed/MEDLINE,2025-10-12
22,Jie et al. (2025),"Jie T, Xu D, Zhou H, Zhang Y, Liang M, Baker JS, Gu Y",Jie ,Muscle mechanics and energetics in chronic ankle instability and copers during landing: Strategies for adaptive adjustments in locomotion pattern,musclemechanicsandenergeticsinchronicank,Heliyon,2025,10.1016/j.heliyon.2025.e41901,PubMed/MEDLINE,2025-10-12
23,da et al. (2025),"da Silva AGM, Macedo RS, Choi GG, Giglio PN, Gobbi RG, Godoy-Santos AL, Helito CP",da ,Inframalleolar harvest of the peroneus longus tendon graft: Surgical technique,inframalleolarharvestoftheperoneuslongus,J ISAKOS,2025,10.1016/j.jisako.2025.100384,PubMed/MEDLINE,2025-10-12
24,Butt et al. (2024),"Butt U, Vuletic F, Shaikh MAA, Amanullah, Rehman GU, Shah IA, Stålman A, Khan ZA",Butt ,5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial,5-yearsoutcomesfollowingarthroscopicante,Arch Orthop Trauma Surg,2024,10.1007/s00402-024-05639-1,PubMed/MEDLINE,2025-10-12
26,Lara et al. (2024),"Lara PHS, Novaretti JV, Nunes GRDS, Cohen M, Ramos LA",Lara ,New Graft Choices for ACL Reconstruction: Update Article,newgraftchoicesforaclreconstruction:upda,Rev Bras Ortop,2024,10.1055/s-0044-1779335,PubMed/MEDLINE,2025-10-12
28,Almeida & Livet (2025),"Almeida M, Livet V",Almeida ,Effect of Cranial Cruciate Ligament Transection during TPLO on Patellar Desmitis in Dogs with Partial Cranial Cruciate Ligament Rupture,effectofcranialcruciateligamenttransecti,Vet Comp Orthop Traumatol,2025,10.1055/s-0044-1795088,PubMed/MEDLINE,2025-10-12
33,de et al. (2024),"de Oliveira DE, Horita MM, Malpaga JMD, de Padua VB, de Gusmão Canuto SM, Jorge PB",de ,Evaluation of the peroneus longus tendon as an autologous graft in knee surgery,evaluationoftheperoneuslongustendonasana,Sci Rep,2024,10.1038/s41598-024-76779-y,PubMed/MEDLINE,2025-10-12
35,Gök et al. (2024),"Gök B, Kanar M, Tutak Y",Gök ,Peroneus Longus vs Hamstring Tendon Autografts in ACL Reconstruction: A Comparative Study of 106 Patients' Outcomes,peroneuslongusvshamstringtendonautograft,Med Sci Monit,2024,10.12659/MSM.945626,PubMed/MEDLINE,2025-10-12
36,Kilic et al. (2024),"Kilic KK, Dogruoz F, Egerci OF, Yuncu M, Yapar A, Kose O",Kilic ,Relationship between peroneus longus tendon graft thickness and anthropometric variables: a radiographic study using ultrasonography,relationshipbetweenperoneuslongustendong,Knee Surg Relat Res,2024,10.1186/s43019-024-00235-4,PubMed/MEDLINE,2025-10-12
40,Mirza et al. (2024),"Mirza K, Menezes RJ, Acharya PU, Austine J, d'Almeida VR, Kamath A",Mirza ,Donor-site morbidity following arthroscopic anterior cruciate ligament reconstruction using peroneus longus tendon autograft,donor-sitemorbidityfollowingarthroscopic,Eur J Orthop Surg Traumatol,2024,10.1007/s00590-024-04046-x,PubMed/MEDLINE,2025-10-12
41,Ertilav et al. (2024),"Ertilav D, Ertilav E, Dirlik GN, Barut K",Ertilav ,Donor Site Morbidity after Removal of FullThickness Peroneus Longus Tendon Graft for Anterior Cruciate Ligament (ACL) Reconstruction: 4-Year Follow-up,donorsitemorbidityafterremovaloffullthic,Acta Chir Orthop Traumatol Cech,2024,10.55095/achot2024/023,PubMed/MEDLINE,2025-10-12
43,Ashton et al. (2024),"Ashton DM, Blaker CL, Hartnell N, Haubruck P, Liu Y, Hefferan SA, Little CB, Clarke EC",Ashton ,"The Biomechanical, Biochemical, and Morphological Properties of 19 Human Cadaveric Lower Limb Tendons and Ligaments: An Open-Access Data Set","thebiomechanical,biochemical,andmorpholo",Am J Sports Med,2024,10.1177/03635465241260054,PubMed/MEDLINE,2025-10-12
46,Zhang et al. (2024),"Zhang S, Cai G, Ge Z",Zhang ,The Efficacy of Anterior Cruciate Ligament Reconstruction with Peroneus Longus Tendon and its Impact on Ankle Joint Function,theefficacyofanteriorcruciateligamentrec,Orthop Surg,2024,10.1111/os.14060,PubMed/MEDLINE,2025-10-12
48,Cristiani et al. (2024),"Cristiani R, van de Bunt F, Kvist J, Stålman A",Cristiani ,High prevalence of associated injuries in anterior cruciate ligament tears: A detailed magnetic resonance imaging analysis of 254 patients,highprevalenceofassociatedinjuriesinante,Skeletal Radiol,2024,10.1007/s00256-024-04665-9,PubMed/MEDLINE,2025-10-12
50,Acharya et al. (2024),"Acharya K, Mody A, Madi S",Acharya ,Functional Outcomes of Anatomic Single Bundle Primary ACL Reconstruction with Peroneus Longus Tendon (Without a Peroneal Tenodesis) Versus Hamstring Autografts,functionaloutcomesofanatomicsinglebundle,Arch Bone Jt Surg,2024,10.22038/ABJS.2024.73473.3404,PubMed/MEDLINE,2025-10-12
51,Alardi  (2023),Alardi IM,Alardi ,Hamstring graft size for anterior cruciate ligament repair in a sample of Iraqi men,hamstringgraftsizeforanteriorcruciatelig,J Med Life,2023,10.25122/jml-2023-0071,PubMed/MEDLINE,2025-10-12
53,Zhao et al. (2024),"Zhao Z, Tang L, Chen J, Bai X, Chen Y, Ng L, Zhou Y, Deng Y",Zhao ,The effect of harvesting the anterior half of the peroneus longus tendon on foot morphology and gait,theeffectofharvestingtheanteriorhalfofth,J Orthop Surg Res,2024,10.1186/s13018-023-04429-6,PubMed/MEDLINE,2025-10-12
54,Gökler et al. (2024),"Gökler DJ, Karácsony AF, Faragó D, Szebényi G, Kiss RM, Pap K",Gökler ,The effect of sterilization and storage on the viscoelastic properties of human tendon allografts - Continued: Storage for 0 to 4 months,theeffectofsterilizationandstorageonthev,J Biomech,2024,10.1016/j.jbiomech.2023.111904,PubMed/MEDLINE,2025-10-12
55,Saeed et al. (2023),"Saeed UB, Ramzan A, Anwar M, Tariq H, Tariq H, Yasin A, Mehmood T",Saeed ,"Earlier Return to Sports, Reduced Donor-Site Morbidity with Doubled Peroneus Longus Versus Quadrupled Hamstring Tendon Autograft in ACL Reconstruction","earlierreturntosports,reduceddonor-sitem",JB JS Open Access,2023,10.2106/JBJS.OA.23.00051,PubMed/MEDLINE,2025-10-12
56,Escudeiro et al. (2023),"Escudeiro de Oliveira D, Horita MM, de Lima MV, Malpaga JMD, Jorge PB",Escudeiro ,Augmentation of the Anterior Cruciate Ligament Using the Peroneus Longus: Description of the Surgical Technique,augmentationoftheanteriorcruciateligamen,Video J Sports Med,2023,10.1177/26350254231204638,PubMed/MEDLINE,2025-10-12
57,Selcuk et al. (2024),"Selcuk H, Baz AB, Egerci OF, Kose O",Selcuk ,Peroneus longus tendon autograft versus allograft in revision ACLR: A retrospective comparison,peroneuslongustendonautograftversusallog,Orthop Traumatol Surg Res,2024,10.1016/j.otsr.2023.103775,PubMed/MEDLINE,2025-10-12
58,Pham et al. (2023),"Pham HN, Huynh NX, Pham PNH, Dang DNY, Cao LT, Huynh DM, Thoi HTT, Le OH, Beaupha SMC",Pham ,Reference intervals of complete blood count and coagulation tests in Vietnamese pregnant women,referenceintervalsofcompletebloodcountan,BMC Pregnancy Childbirth,2023,10.1186/s12884-023-06106-2,PubMed/MEDLINE,2025-10-12
60,Arojuraye et al. (2024),"Arojuraye SA, Alabi IA, Mustapha IU",Arojuraye ,Outcome of percutaneous reconstruction of chronic lateral collateral ligament rupture,outcomeofpercutaneousreconstructionofchr,Chin J Traumatol,2024,10.1016/j.cjtee.2023.09.004,PubMed/MEDLINE,2025-10-12
62,Zeng et al. (2023),"Zeng J, Huang J, Liu Z, Xia H",Zeng ,Influence of peroneus longus tendon autograft for ACL reconstruction on donor-side ankle function in obese patients: A retrospective study of 87 patients,influenceofperoneuslongustendonautograft,Asian J Surg,2023,10.1016/j.asjsur.2023.07.041,PubMed/MEDLINE,2025-10-12
63,Josipović et al. (2023),"Josipović M, Vlaić J, Serdar J, Levaj I, Šimunović M, Nizić D, Jelić M",Josipović ,A NEW TECHNIQUE FOR COMBINED ANTERIOR CRUCIATE AND ANTEROLATERAL LIGAMENT RECONSTRUCTION USING QUADRICEPS AND PLANTARIS TENDONS,anewtechniqueforcombinedanteriorcruciate,Acta Clin Croat,2023,10.20471/acc.2023.62.s3.6,PubMed/MEDLINE,2025-10-12
72,Hossain et al. (2023),"Hossain GMJ, Islam MS, Rahman Khan MM, Rafiqul Islam M, Rahman SMM, Jahan MS, Halder RC, Rahaman SK, Al Mamun MB, Harun ME",Hossain ,A prospective study of arthroscopic primary ACL reconstruction with ipsilateral peroneus longus tendon graft: Experience of 439 cases,aprospectivestudyofarthroscopicprimaryac,Medicine (Baltimore),2023,10.1097/MD.0000000000032943,PubMed/MEDLINE,2025-10-12
73,Butt et al. (2022),"Butt UM, Khan ZA, Amin A, Shah IA, Iqbal J, Khan Z",Butt ,Peroneus Longus Tendon Harvesting for Anterior Cruciate Ligament Reconstruction,peroneuslongustendonharvestingforanterio,JBJS Essent Surg Tech,2022,10.2106/JBJS.ST.20.00053,PubMed/MEDLINE,2025-10-12
82,Saki et al. (2022),"Saki F, Tahayori B, Bakhtiari Khou S",Saki ,Female athletes with ligament dominance exhibiting altered hip and ankle muscle co-contraction patterns compared to healthy individuals during single-leg landing,femaleathleteswithligamentdominanceexhib,Gait Posture,2022,10.1016/j.gaitpost.2022.02.011,PubMed/MEDLINE,2025-10-12
85,Guénégo et al. (2021),"Guénégo L, Vezzoni A, Vezzoni L",Guénégo ,Comparison of tibial anatomical-mechanical axis angles and patellar positions between tibial plateau levelling osteotomy (TPLO) and modified cranial closing wedge osteotomy (AMA-based CCWO) for the treatment of cranial cruciate ligament disease in large dogs with tibial plateau slopes greater than 30° and clinically normal Labradors retrievers,comparisonoftibialanatomical-mechanicala,BMC Vet Res,2021,10.1186/s12917-021-03094-3,PubMed/MEDLINE,2025-10-12
87,Picot et al. (2022),"Picot B, Rémy-Neris O, Forestier N",Picot ,Proprioceptive postural control strategies differ among non-injured athletes,proprioceptiveposturalcontrolstrategiesd,Neurosci Lett,2022,10.1016/j.neulet.2021.136366,PubMed/MEDLINE,2025-10-12
90,de et al. (2021),"de Oliveira DE, Horita MM, de Oliveira E Silva M, Salas VER, Jorge PB",de ,Anterior Half of the Peroneus Longus Tendon Combined with Semitendinosus and Gracilis Tendons for Anterior Cruciate Ligament Reconstruction: An Athlete Case Report,anteriorhalfoftheperoneuslongustendoncom,Case Rep Orthop,2021,10.1155/2021/9978383,PubMed/MEDLINE,2025-10-12
94,Joshi et al. (2021),"Joshi S, Shetty UC, Salim MD, Meena N, Kumar RS, Rao VKV",Joshi ,Peroneus Longus Tendon Autograft for Anterior Cruciate Ligament Reconstruction: A Safe and Effective Alternative in Nonathletic Patients,peroneuslongustendonautograftforanterior,Niger J Surg,2021,10.4103/njs.NJS_22_20,PubMed/MEDLINE,2025-10-12
95,Wang et al. (2021),"Wang X, Han X, Shi X, Yuan Y, Tan H",Wang ,[Short-term effectiveness of arthroscopic single bundle four-strand reconstruction using autologous semitendinosus tendon and anterior half of peroneus longus tendon for posterior cruciate ligament injuries],short-termeffectivenessofarthroscopicsin,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,2021,10.7507/1002-1892.202011058,PubMed/MEDLINE,2025-10-12
97,Blanke et al. (2021),"Blanke F, Boljen M, Lutter C, Oehler N, Tischer T, Vogt S",Blanke ,Does the anterolateral ligament protect the anterior cruciate ligament in the most common injury mechanisms? A human knee model study,doestheanterolateralligamentprotectthean,Knee,2021,10.1016/j.knee.2021.02.026,PubMed/MEDLINE,2025-10-12
100,Ertilav  (2021),Ertilav D,Ertilav ,Relation of peroneus longus autograft dimensions with anthropometric parameters in anterior cruciate ligament reconstruction: Importance of the distal leg diameter,relationofperoneuslongusautograftdimensi,Jt Dis Relat Surg,2021,10.5606/ehc.2021.79580,PubMed/MEDLINE,2025-10-12
106,Rhatomy et al. (2020),"Rhatomy S, Hartoko L, Setyawan R, Soekarno NR, Zainal Asikin AI, Pridianto D, Mustamsir E",Rhatomy ,Single bundle ACL reconstruction with peroneus longus tendon graft: 2-years follow-up,singlebundleaclreconstructionwithperoneu,J Clin Orthop Trauma,2020,10.1016/j.jcot.2019.09.004,PubMed/MEDLINE,2025-10-12
108,Trung et al. (2019),"Trung DT, Manh SL, Thanh LN, Dinh TC, Dinh TC",Trung ,Preliminary Result of Arthroscopic Anterior Cruciate Ligament Reconstruction Using Anterior Half of Peroneus Longus Tendon Autograft,preliminaryresultofarthroscopicanteriorc,Open Access Maced J Med Sci,2019,10.3889/oamjms.2019.390,PubMed/MEDLINE,2025-10-12
109,Rhatomy et al. (2019),"Rhatomy S, Tanzil H, Setyawan R, Amanda C, Phatama KY, Andrianus J, Rukmoyo T, Kisworo B",Rhatomy ,Influence of anthropometric features on peroneus longus graft diameter in Anterior Cruciate Ligament reconstruction: A cohort study,influenceofanthropometricfeaturesonperon,Ann Med Surg,2019,10.1016/j.amsu.2019.10.023,PubMed/MEDLINE,2025-10-12
113,Wong et al. (2019),"Wong AK, Calvo M R, Schaffler BC, Nixon RA, Carrero LC, Neufeld EV, Grande DA, Calvo R R",Wong ,Biomechanical and geometric characterization of peroneus longus allografts with respect to age,biomechanicalandgeometriccharacterizatio,Clin Biomech,2019,10.1016/j.clinbiomech.2019.04.017,PubMed/MEDLINE,2025-10-12
114,Sun et al. (2019),"Sun J, Li X, Zhou H, Liu X, Jia J, Xie Q, Peng S, Sun X, Wang Q, Yi L",Sun ,Anti-GAPDH Autoantibody Is Associated with Increased Disease Activity and Intracranial Pressure in Systemic Lupus Erythematosus,anti-gapdhautoantibodyisassociatedwithin,J Immunol Res,2019,10.1155/2019/7430780,PubMed/MEDLINE,2025-10-12
116,Barrera et al. (2019),"Barrera CM, Ennis H, Delcroix GJ, Kaimrajh D, Milne E, Latta L, Baraga MG",Barrera ,"Supplemental Fixation of Inner Graft Limbs in All-Inside, Quadrupled, Single-Tendon Anterior Cruciate Ligament Reconstruction Graft Construct Yields Improved Biomechanical Properties",supplementalfixationofinnergraftlimbsina,Arthroscopy,2019,10.1016/j.arthro.2018.10.130,PubMed/MEDLINE,2025-10-12
119,Shi et al. (2019),"Shi FD, Hess DE, Zuo JZ, Liu SJ, Wang XC, Zhang Y, Meng XG, Cui ZJ, Zhao SP, Li CJ, Hu WN",Shi ,Peroneus Longus Tendon Autograft is a Safe and Effective Alternative for Anterior Cruciate Ligament Reconstruction,peroneuslongustendonautograftisasafeande,J Knee Surg,2019,10.1055/s-0038-1669951,PubMed/MEDLINE,2025-10-12
123,Trulsson et al. (2017),"Trulsson A, Miller M, Gummesson C, Garwicz M",Trulsson ,Associations between altered movement patterns during single-leg squat and muscle activity at weight-transfer initiation in individuals with anterior cruciate ligament injury,associationsbetweenalteredmovementpatter,BMJ Open Sport Exerc Med,2017,10.1136/bmjsem-2016-000131,PubMed/MEDLINE,2025-10-12
126,Aguila et al. (2016),"Aguila CM, Delcroix GJ, Kaimrajh DN, Milne EL, Temple HT, Latta LL",Aguila ,Effects of gamma irradiation on the biomechanical properties of peroneus tendons,effectsofgammairradiationonthebiomechani,Open Access J Sports Med,2016,10.2147/OAJSM.S109156,PubMed/MEDLINE,2025-10-12
128,Russell et al. (2017),"Russell C, Pedoia V, Amano K, Potter H, Majumdar S; AF-ACL Consortium",Russell ,Baseline cartilage quality is associated with voxel-based T(1ρ) and T(2) following ACL reconstruction: A multicenter pilot study,baselinecartilagequalityisassociatedwith,J Orthop Res,2017,10.1002/jor.23277,PubMed/MEDLINE,2025-10-12
129,Ames et al. (2016),"Ames PR, Merashli M, Chis Ster I, D'Andrea G, Iannaccone L, Marottoli V, Margaglione M, Brancaccio V",Ames ,Survival in primary antiphospholipid syndrome. A single-centre cohort study,survivalinprimaryantiphospholipidsyndrom,Thromb Haemost,2016,10.1160/TH15-10-0839,PubMed/MEDLINE,2025-10-12
130,Su et al. (2016),"Su F, Pedoia V, Teng HL, Kretzschmar M, Lau BC, McCulloch CE, Link TM, Ma CB, Li X",Su ,The association between MR T1ρ and T2 of cartilage and patient-reported outcomes after ACL injury and reconstruction,theassociationbetweenmrt1ρandt2ofcartila,Osteoarthritis Cartilage,2016,10.1016/j.joca.2016.01.985,PubMed/MEDLINE,2025-10-12
131,Dingenen et al. (2015),"Dingenen B, Janssens L, Luyckx T, Claes S, Bellemans J, Staes FF",Dingenen ,Lower extremity muscle activation onset times during the transition from double-leg stance to single-leg stance in anterior cruciate ligament injured subjects,lowerextremitymuscleactivationonsettimes,Hum Mov Sci,2015,10.1016/j.humov.2015.09.007,PubMed/MEDLINE,2025-10-12
133,Liu et al. (2015),"Liu CT, Lu YC, Huang CH",Liu ,Half-peroneus-longus-tendon graft augmentation for unqualified hamstring tendon graft of anterior cruciate ligament reconstruction,half-peroneus-longus-tendongraftaugmenta,J Orthop Sci,2015,10.1007/s00776-015-0744-2,PubMed/MEDLINE,2025-10-12
135,Nazem et al. (2014),"Nazem K, Barzegar M, Hosseini A, Karimi M",Nazem ,Can we use peroneus longus in addition to hamstring tendons for anterior cruciate ligament reconstruction?,canweuseperoneuslongusinadditiontohamstr,Adv Biomed Res,2014,10.4103/2277-9175.132696,PubMed/MEDLINE,2025-10-12
136,Biskup et al. (2014),"Biskup J, Freeman A, Camisa W, Innes J, Conzemius M",Biskup ,Mechanical properties of canine patella-ligament-tibia segment,mechanicalpropertiesofcaninepatella-liga,Vet Surg,2014,10.1111/j.1532-950X.2013.12109.x,PubMed/MEDLINE,2025-10-12
142,Kerimoğlu et al. (2008),"Kerimoğlu S, Aynaci O, Saraçoğlu M, Aydin H, Turhan AU",Kerimoğlu ,[Anterior cruciate ligament reconstruction with the peroneus longus tendon],[anteriorcruciateligamentreconstructionw,Acta Orthop Traumatol Turc,2008,10.3944/aott.2008.038,PubMed/MEDLINE,2025-10-12
146,Jabeen et al. (2025),"Jabeen A, Makker C, Sharmeen M, Baogi Z, Fathima AL",Jabeen ,Peroneus longus a surgical ally: bilateral and sex based morphometric cadaveric study of its muscle and tendon,peroneuslongusasurgicalally:bilateraland,International Journal of Life Sciences Biotechnology and Pharma Research,2025,10.69605/ijlbpr_14.10.2025.26,Embase,2025-10-15
150,Lu et al. (2025),"Lu S, Ye Z, Zhao J",Lu ,Comparative study of three-in-one procedure versus combined anterior cruciate ligament and anterolateral structure reconstruction for revision of anterior cruciate ligament reconstruction,comparativestudyofthree-in-oneprocedurev,Chinese Journal of Orthopaedics,2025,10.3760/cma.j.cn121113-20250103-00010,Embase,2025-10-15
154,Opoku et al. (2025),"Opoku M, Abdramane AM, Abdirahman A, Fang M, Li Y, Xiao W",Opoku ,Can peroneus longus tendon autograft become an alternative to hamstring tendon autograft for anterior cruciate ligament reconstruction: a systematic review and meta-analysis of comparative studies,canperoneuslongustendonautograftbecomean,Journal of orthopaedic surgery and research,2025,10.1186/s13018-025-06080-9,Embase,2025-10-15
155,Arora & Shah (2025),"Arora M, Shah J",Arora ,Peroneus longus autograft with lateral extra-articular tenodesis for revision anterior cruciate ligament surgery has excellent short-term outcomes,peroneuslongusautograftwithlateralextra-,Journal of Arthroscopic Surgery and Sports Medicine,2025,10.25259/JASSM_6_2025,Embase,2025-10-15
164,Shevate et al. (2025),"Shevate IR, Khajanchi SA, Salunkhe R, Cheemala VR",Shevate ,Delayed Primary Repair of Patella Tendon Tear with Autologous Soft-tissue Graft Augmentation: A Report of Two Cases,delayedprimaryrepairofpatellatendontearw,Journal of Clinical and Diagnostic Research,2025,10.7860/JCDR/2025/77872.21019,Embase,2025-10-15
169,Xia et al. (2025),"Xia W, Tan Y, Mei B, Zhou Y, Tan J, Pubu Z, Sang B, Jiang T",Xia ,Application of Interpretable Machine Learning Models to Predict the Risk Factors of HBV-Related Liver Cirrhosis in CHB Patients Based on Routine Clinical Data: A Retrospective Cohort Study,applicationofinterpretablemachinelearnin,Journal of Medical Virology,2025,10.1002/jmv.70302,Embase,2025-10-15
171,Kate et al. (2025),"Kate A, Sawarbandhe S, Agrawal P",Kate ,Functional Assessment of Arthroscopic ACL Reconstruction with Peroneus Longus Autograft: A Prospective Study,functionalassessmentofarthroscopicaclrec,SSR Institute of International Journal of Life Sciences,2025,10.21276/SSR-IIJLS.2025.11.2.24,Embase,2025-10-15
172,Metze et al. (2025),"Metze M, Zimmermann S, Kirsten H, Werdehausen R, Veelken R, van Bömmel F, Denecke T, Meyer H-J, Ebel S, Struck MF",Metze ,Effects of Protamine Reversal on Coagulation Parameters After High-Dose Heparin Administration in Percutaneous Hepatic Chemosaturation Intervention,effectsofprotaminereversaloncoagulationp,Clinics and Practice,2025,10.3390/clinpract15020038,Embase,2025-10-15
174,Perelli et al. (2025),"Perelli S, Messori M, Dueñas J, Pizza N, Avalos RM, Ibañez M, Monllau JC",Perelli ,Augmented Over-The-Top Technique for Revision Anterior Cruciate Ligament Reconstruction,augmentedover-the-toptechniqueforrevisio,Arthroscopy Techniques,2025,10.1016/j.eats.2025.103856,Embase,2025-10-15
177,Khou et al. (2024),"Khou SB, Saki F, Tahayori B",Khou ,Muscle activation in the lower limb muscles in individuals with dynamic knee valgus during single-leg and overhead squats: a meta-analysis study,muscleactivationinthelowerlimbmusclesini,BMC Musculoskeletal Disorders,2024,10.1186/s12891-024-07759-6,Embase,2025-10-15
179,Sakti et al. (2024),"Sakti M, Saleh R, Arifin J, Usman MA, Mirasari I",Sakti ,Novel modified implant fixation technique for arthroscopic anterior cruciate ligament reconstruction using hamstring and peroneus longus autografts in limited resource settings: a comparative study on knee stability,novelmodifiedimplantfixationtechniquefor,Chirurgia,2024,10.23736/S0394-9508.24.05789-9,Embase,2025-10-15
183,Sami et al. (2024),"Sami A, Ankit, Nair AK, Jain V",Sami ,A prospective study of functional outcome of anterior cruciate ligament reconstruction using autologous peroneus longus graft,aprospectivestudyoffunctionaloutcomeofan,Journal of Clinical Orthopaedics and Trauma,2024,10.1016/j.jcot.2024.102655,Embase,2025-10-15
185,Rahman et al. (2024),"Rahman HAAMA, Sallam HEEH, Badr AMAA",Rahman ,Reconstruction of Anterior Cruciate Ligament Using Peroneus Longus Autograft. Systematic Review,reconstructionofanteriorcruciateligament,QJM: An International Journal of Medicine,2024,10.1093/qjmed/hcae175.665,Embase,2025-10-15
