Title,Original Title,Author Names,Source,Publication Year,Date of Publication,Abstract,Original Abstract,Medline PMID,DOI
Effect of ACL Reconstruction Using Peroneus Longus Versus Hamstring Autografts on Biomechanical Properties of Ankle Joint Complex,,,clinicaltrials.gov (2024). Date of Publication: 18 Mar 2024,2024,18-Mar-24,"Brief SummaryBACKGROUND: Anterior cruciate ligament (ACL) is an important ligamentous structure in the knee joint which contributes in maintaining stability. ACL injury contribute to approximately 50% of knee injuries .The incidence of ACL ruptures is estimated to be between 30 and 78 per 100,000 people per year . The incidence of ACL ruptures varies depending on a number of factors, including age, sex, sport participation, and genetics. ACL ruptures are most common in young adults, particularly women. The risk of an ACL rupture has been reported as 2-8 times higher for women than for men. A systematic review study found that the risk of ACL injury was highest in football, followed by soccer, basketball, and skiing . Nowadays, Peroneus longus tendon (PLT) autograft is used in orthopaedic surgeries. Some studies reported that PLT graft had maintained a possible more efficient ACL substitute for its tensile strength and regeneration ability after being inserted post-surgery . The PLT graft has additional benefit as it does not cause secondary injury to the knee and its adjacent structures . Ankle proprioception is one of the crucial components contributing to postural control . PLT graft for ACL reconstruction might affect the already compromised body balance by influencing postural stability and ankle stability at the donor ankle site. So, this study will be conducted to assess and compare the effect of ACLreconstruction with PLT graft to the effect of ACL reconstruction with HT graft on ankle stability and postural control .Detailed DescriptionPURPOSE * To assess the effect of ACL reconstruction with Peroneus longus tendon autograft on Peak torque of ankle plantarflexors and evertors , Single Leg Stance test time and Star Excursion Balance Test score in patients with ACL reconstruction. * To assess the effect of ACL reconstruction with Hamstring tendon autograft on Peak torque of ankle plantarflexors and evertors , Single Leg Stance test time and Star Excursion Balance Test score in patients with ACL reconstruction. * To compare between the effect of ACL reconstruction with Peroneus longus tendon autograft to ACL reconstruction with Hamstring tendon autograft on peak torque of ankle plantarflexors and evertors , Single Leg Stance test time and Star Excursion Balance Test score in patients with ACL reconstruction. HYPOTHESES * There will be no significant effect of ACL reconstruction with Peroneus longus tendon autograft on Peak torque of ankle plantarflexors and evertors , Single Leg Stance test time and Star Excursion Balance Test score in patients with ACL reconstruction. * There will be no significant effect of ACL reconstruction with Hamstring tendon autograft on Peak torque of ankle plantarflexors and evertors , Single Leg Stance test time and Star Excursion Balance Test score In patients with ACL reconstruction. * There will be no significant difference in Peak torque of ankle plantarflexors and evertors , Single Leg Stance Test time and Star Excursion Balance Test score between ACL reconstruction with Peroneus longus tendon autograft and ACL reconstruction with Hamstring tendon autograft. RESEARCH QUESTION:: * Will there be any effect of ACL reconstruction with Peroneus longus tendon autograft on Peak torque of ankle plantarflexors and evertors , Single Leg Stance test time and Star Excursion Balance Test score in patients with ACL reconstruction? * Will there be any effect of ACL reconstruction with Hamstring tendon autograft on Peak torque of ankle plantarflexors and evertors , Single Leg Stance test time and Star Excursion Balance Test score in patients with ACL reconstruction ? * Will there be any difference in Peak torque of ankle plantarflexors and evertors , Single Leg Stance test time and Star Excursion Balance Test score between ACL reconstruction with Peroneus longus tendon autograft and ACL reconstruction with Hamstring tendon autograft?",,,
Clinico-radiological outcome of Arthroscopic Anterior Cruciate Ligament Reconstruction with Augmentation of Dehydrated Human Amnion Chorion Allograft Membrane using Peroneus Longus Autograft,,"Tonape P.B., Kishore J.V.S., Kopparthi R.M., Tonape T., Bhamare D.S., Desireddy S.",Malaysian Orthopaedic Journal (2024) 18:1 (33-41). Date of Publication: 1 Mar 2024,2024,1-Mar-24,"Introduction: For many sportsmen, anterior cruciate ligament (ACL) tears are unfortunate but common injuries. Several growth factors, cytokine, chemokine, and protease inhibitors functions in stimulation of paracrine reactions in fibroblast, endothelial, and stem cells thereby promoting the tissue restorative processes. Augmented with dehydrated Human Amnion Chorion Membrane (dHACM) allograft reinforces the reconstructed ligament and aids in effective restoration. Materials and methods: In this case control study 15 patients undertaking ACL reconstruction with tripled peroneus augmented dHACM (G1) were prospectively monitored up for a period of 8 months along with 15 control patients (G2) without dHACM augmentation. Clinical and radiological outcomes were analysed and assessed about effect of augmenting the peroneus longus graft using dHACM. Clinical analysis included pre-operative two, four, six, and eight months post-operative Tegnor-Lysholm score, and radiological analysis included the 6th month postoperative MRI signal-to-noise ratio (SNR) measurements by mean signal-value at femoral insertion, midsubstance and tibial insertion of ACL graft. Results: Clinically, as a mean Lysholm score of all patients, they were revealed to be consecutively high in G1 than in Group 2 at four, six, and eight months. The signal-to-noise ratio from the MRI results showed majority having good healing in G1 group. Conclusions: Based on 6-month MRI, an effective ligamentization (SNR<75) was noticed in 53.33% of patients in the dHACM allograft enhanced group on comparison with 33% in the controls. The overall results show that the augmentation of dHACM allograft to ACL reconstruction yields in good patient outcomes at post-operative follow-up.",,,10.5704/MOJ.2403.005
Functional Outcomes of Anatomic Single Bundle Primary ACL Reconstruction with Peroneus Longus Tendon (Without a Peroneal Tenodesis) Versus Hamstring Autografts,,"Acharya K., Mody A., Madi S.",Archives of Bone and Joint Surgery (2024) 12:2 (116-122). Date of Publication: 1 Feb 2024,2024,1-Feb-24,"Objectives: There is a paucity of comparative studies on the Peroneus longus tendon versus conventional hamstring autograft use in primary single-bundle ACL reconstruction. To date, there are no studies that reported donor ankle functional outcomes when a peroneus longus graft is harvested without performing a tenodesis to peroneus brevis. Methods: A single-center retrospective comparative study was undertaken to evaluate the functional outcomes (IKDC & Tegner-Lysholm scores) of primary isolated single bundle anatomic ACL Reconstruction with Peroneus Longus tendon (PL group) versus Hamstring (HT group) autografts. Further, an evaluation of donor ankle morbidity using the AOFAS score for the PL group and persistent anteromedial thigh pain and paraesthesia around the knee for the HT group was also performed. Results: 30 patients were evaluated in each group. The mean graft diameter was 8.61 +/- 0.66mm (HT) & 9.6 +/- 0.84mm (PL) and the mean graft length was 7.39cm (HT) & 7.86cm (PL) respectively. The mean IKDC scores were 58.2 (Pre-op) & 89.52 (1 year) for the HT group and 61.8 (Pre-op) & 90.9 (1 year) for the PL group respectively. The mean Tegner-Lysholm scores were 69.83 (Pre-op) & 91.96 (1 year) for the HT group and 70.66 (Pre-op) & 92.36 (1 year) for the PL group respectively.10% of the HT group had residual anteromedial thigh pain & 6.7% had paraesthesia at one-year follow-up. In the PL group, the mean AOFAS score was 96.37 +/- 2.49 at the end of one year. Two cases (6.66%) reported paraesthesia around the harvested site. Conclusion: Peroneus longus tendon appears to be a better autograft choice than hamstrings for primary ACL reconstruction. Further, without a peroneal tenodesis, the functional outcomes of the donor ankle remained excellent.",,,10.22038/ABJS.2024.73473.3404
The role of peroneus longus (PL) autograft in the reconstruction of anterior cruciate ligament (ACL): A comprehensive narrative review,,"Viswanathan V.K., Iyengar K.P., Jain V.K.",Journal of Clinical Orthopaedics and Trauma (2024) 49 Article Number: 102352. Date of Publication: 1 Feb 2024,2024,1-Feb-24,"Background: Peroneus longus tendon (PLT) is a known graft utilised in the ligamentous reconstructions of knee. The current review was performed to analyze the available evidence regarding PLT in the arthroscopic anterior cruciate ligament (ACL) reconstruction. Methods: A comprehensive search of literature was performed on March 1, 2023 using 5 databases (for manuscripts published between 2010 and 2023). All studies reporting ACL reconstruction with PL graft in adults ≥18 years were considered; and final studies were shortlisted based on specific exclusion criteria. Results: The search identified 684 articles, among which 26 manuscripts were finally selected. PLT has been used in primary ACL reconstruction (ACLR), revision ACLR, ACLR in multiligamentous injuries and those at risk for anterior knee pain. The full-thickness PLT graft is variable in its dimensions with the mean size ranging between 7 and 8.8 mm (half-PLT grafts ≤8.1 mm). The ultimate strength of doubled PLT graft is significantly higher than native ACL and comparable to the quadrupled hamstring. There was statistically insignificant difference in the laxity and functional outcome of knee following ACLR with PLT, as compared with other autografts (p > 0.05). PLT harvest is associated with satisfactory clinical foot and ankle outcomes, as well as excellent regenerative ability. Overall, studies have demonstrated lower complications with PLT (p < 0.05). Conclusion: The dimensions of harvested PLT graft are more consistent than HT. It has similar functional outcome and survival, as compared to other autografts. It also has lower risk for donor-site morbidity and lower complications than HT. PLT is a promising, alternative autograft choice in patients undergoing ACLR.",,,10.1016/j.jcot.2024.102352
The effect of harvesting the anterior half of the peroneus longus tendon on foot morphology and gait,,"Zhao Z., Tang L., Chen J., Bai X., Chen Y., Ng L., Zhou Y., Deng Y.",Journal of orthopaedic surgery and research (2024) 19:1 (69). Date of Publication: 16 Jan 2024,2024,16-Jan-24,"BACKGROUND AND OBJECTIVES: In anterior cruciate ligament reconstruction, the strength of the graft was found to be unsatisfactory usually the anterior half of the peroneus longus tendon was taken for supplementation, but the effect on foot and ankle function and gait in the donor area is unclear. This study aims to explore the changes in the ankle and gait after using the harvested anterior half of the peroneus longus tendon as a reconstruction graft for the anterior cruciate ligament. METHODS: A total of 20 patients, 6 males and 14 females, aged 18 to 44 years, with unilateral anterior cruciate ligament injuries, underwent reconstruction using the harvested anterior half of the peroneus longus tendon as a graft between June 2021 and December 2021. The part on which the anterior half of the peroneus longus tendon was harvested was considered the experimental group, while the contralateral foot was the control group. At the 6-month follow-up, the Lysholm knee score, AOFAS ankle score, and gait-related data (foot length, arch index, arch volume, arch volume index, and gait cycle parameters: percentage of time in each gait phase, step frequency, step length, foot strike angle, and push-off angle) were assessed using a 3D foot scanner and wearable sensors for both groups. RESULTS: All 20 patients completed the six-month follow-up. There were no statistically significant differences between the experimental and control groups regarding knee scores, ankle scores, foot length, arch index, arch volume, arch volume index, step frequency, and step length (P > 0.05). However, there were statistically significant differences between the experimental and control groups in terms of the gait cycle parameters, including the percentage of time in the stance, mid-stance, and push-off phases, as well as foot strike angle and push-off angle (P < 0.05). CONCLUSION: Through our study of the surgical experimental group we have shown that harvesting the anterior half of the peroneus longus tendon does not affect foot morphology and gait parameters; however, it does impact the gait cycle.",,38225652,10.1186/s13018-023-04429-6
Comparative Analysis of Functional Outcomes and Donor Site Morbidity in ACL Reconstruction: Peroneus Longus Tendon versus Hamstring Tendon Autografts,,"Nikumbh J., Gangurde Y., Patil H., Bhamre S.",International Journal of Pharmaceutical and Clinical Research (2024) 16:1 (481-486). Date of Publication: 2024,2024,2024,"Introduction: Anterior cruciate ligament (ACL) reconstruction commonly employs hamstring tendon autografts, but alternative sources like the peroneus longus tendon have gained attention. This study aimed to compare functional outcomes and donor site morbidity between peroneus longus and hamstring autografts for ACL reconstruction. Methodology: Forty patients underwent ACL reconstruction using peroneus longus tendon autografts, while another 40 received hamstring tendon autografts. Preoperative, postoperative, and follow-up assessments included International Knee Documentation Committee (IKDC) and Lysholm scores, graft diameter measurements, knee stability evaluations, and ankle range of motion assessments. Results: Functional scores (IKDC and Lysholm) showed substantial improvements postoperatively in both groups, with no significant differences between preoperative scores. Graft diameter differed significantly, with the peroneus longus tendon exhibiting a larger diameter. Knee stability, laxity, and ankle range of motion demonstrated no significant differences between the two groups. Conclusion: Despite variations in graft diameter, both peroneus longus and hamstring tendon autografts yielded comparable functional outcomes and knee stability post-ACL reconstruction. Ankle range of motion remained unaffected following peroneus longus tendon harvesting. These findings suggest the viability of peroneus longus tendon as an alternative autograft choice for ACL reconstruction.",,,
ACL Reconstruction with Quadrupled Hamstring Tendon Graft-A Prospective Outcome Study,,"Suna R., Battu V.R., Varigonda S., Giduthuri R.K., Lakumalla S., Duttaluri R.",International Journal of Pharmaceutical and Clinical Research (2024) 16:3 (595-599). Date of Publication: 2024,2024,2024,"Introduction: Anterior Cruciate Ligament (ACL) injury is one of the common sports injuries encountered. It is a very important ligament in knee which contributes to the stability of the knee joint. Reconstructing ACL is essential to prevent early onset osteoarthritis of the knee joint as well as to have better functional outcome. There are numerous autograft options like bone-patellar tendon-bone graft, Hamstring graft and peroneus longus graft with their own merits and demerits. The present study is intended to study the functional outcome follow-ing ACL reconstruction with quadrupled hamstring graft. Methods and materials: Patients with ACL injury and those who have met inclusion and exclusion criteria are included in the study. After thorough pre-op evaluation, the patients are treated with reconstruction of ACL with quadrupled hamstring graft. They are assessed pre-operatively and post-operatively up to 9 months by doing Lachman test, Anterior Drawer test, Pivot shift test and few functional scores like Lysholm knee score and IKDC subjective knee evaluation score. Thus, the functional outcome of knee is assessed. Results: Among the 32 patients, who are included in the study, 28 are males. Right limbs are more commonly involved. In this study, RTA is the most common mechanism of injury. About 10 cases are also associated with meniscal injuries. The average IKDC score among the isolated ACL injury cases is 88.6 and in those associated with meniscal injuries is 86.3. About 75.4% of patients showed better outcome in the study. Conclusion: Anatomical reconstruction of ACL is key for better functional outcomes in knees with ACL injury. Better functional outcome is seen in isolated ACL injuries compared to ACL injuries with meniscal involvement. ACL reconstruction with quadrupled hamstring graft is one of the reliable methods which provides better results. It is not associated with much donor site morbidity.",,,
The effect of sterilization and storage on the viscoelastic properties of human tendon allografts – Continued: Storage for 0 to 4 months,,"Gökler D.J., Karácsony A.F., Faragó D., Szebényi G., Kiss R.M., Pap K.",Journal of Biomechanics (2024) 162 Article Number: 111904. Date of Publication: 1 Jan 2024,2024,1-Jan-24,"The role of donor-derived tendons, also known as allografts, in anterior cruciate ligament replacement surgeries is steadily increasing. Before surgery, temporary storage and, in most cases, sterilization are essential. It is, thus, crucial to determine how these procedures alter the grafts’ biomechanical properties. The purpose of this research was to analyze the effect of different sterilization methods (native, frozen, frozen + 21 kGy gamma irradiation, frozen + 21 kGy electron beam irradiation) and storage durations (0 to 4 months) on the deformation and creep of two tendon types (tibialis anterior, peroneus longus). 80 tibialis anterior and 83 peroneus longus tendons from 51 human cadavers were included. The samples were removed, placed in a radio-cryoprotectant solution, then slowly cooled, sterilized and stored at −80 °C. All groups were subject to 60 s static creep test with 250 N load. Deformation during the loading phase, creep during static loading, and the ratio of these two were evaluated. Deformation at the end of the loading phase and creep consistently exhibited significantly smaller values in the tibialis anterior compared to the peroneus longus type, as well as in electron beam-sterilized grafts as opposed to gamma beam-sterilized ones. Prolonged storage periods (within 0 to 4 months) resulted in a notable increase in these values, particularly in deformation. Based on the experimental data, the tibialis anterior tendon type and sterilization by gamma beam irradiation are better choices for anterior cruciate ligament reconstruction than the peroneus longus and sterilization by electron beam. Increased storage time affects negatively the evaluated mechanical properties.",,38134466,10.1016/j.jbiomech.2023.111904
Combined Anterior Cruciate Ligament and Anterolateral Ligament Reconstruction Using a Single Peroneus Longus Tendon Graft,,"da Silva A.G.M., Macedo R.S., Souza M.O., Giglio P.N., Videira L.D., Gobbi R.G., Godoy dos Santos A.L., Helito C.P.",Arthroscopy Techniques (2024) 13:1 Article Number: 102823. Date of Publication: 1 Jan 2024,2024,1-Jan-24,"The peroneus longus tendon seems a viable graft option for knee ligament reconstructions, with adequate biomechanical properties and low morbidity after harvesting. The objective of this article is to describe a combined anterior cruciate ligament and anterolateral ligament reconstruction technique using a single peroneus longus tendon graft harvested from the infra malleolar region to ensure sufficient length.",,,10.1016/j.eats.2023.08.028
Donor Site Morbidity after Removal of Full-Thickness Peroneus Longus Tendon Graft for Anterior Cruciate Ligament (ACL) Reconstruction: 4-Year Follow-up,Morbidita odběrového místa po odebrání šlachového štěpu m. peroneus longus v plné tloušťce pro rekonstrukci předního zkříženého vazu (ACL): 4leté sledování,"Ertilav D., Ertilav E., Dirlik G.N., Barut K.",Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca (2024) 91:3 (170-174). Date of Publication: 2024,2024,2024,"Puspose of the study Many studies have investigated the efficacy of peroneus longus tendon (PLT) in anterior cruciate ligament (ACL) reconstruction, and donor site morbidity has not been adequately studied. Material and Methods Fifty patients who underwent ACL reconstruction using PLT were included. Ankle strengths of the patients evaluated with an analog dynamometer. Ankle range of motion (ROM) was measured with a smart phone inclonometer application. Results There was no significant difference between the postoperative ankle strength(eversion, plantar flexion) in the donor area and the preoperative period (p=0.6 and p=0.7, respectively) and contralateral healthy side (p=0.6, p=0.6, respectively). Ankle ROM angles (dorsiflexion, plantar flexion, eversion, inversion) were significantly lower in the post-operative period compared to the preoperative period and contralateral healthy side (p<0.05, p<0.05, p<0.05, p<0.05, respectively). There was no significant difference between pre-operative and post-operative AOFAS scores (p=0.2). Conclusions Although PLT can affect ROM angles, it is a promising alternative for ACL reconstructions without causing functional morbidity.",,38963896,10.55095/achot2024/023
A Prospective Study on Functional Outcome at Donor Site Following Peroneus Longus Graft Harvest for Knee Ligament Reconstruction in a Tertiary Care Hospital in South India,,"Sathish Babu D.G., Basavarajanna S., Vanamali B.S., Rashaad Rahman K.K.",International Journal of Pharmaceutical and Clinical Research (2024) 16:9 (1534-1540). Date of Publication: 2024,2024,2024,"Background: Knee ligament reconstruction is widely performed all over the world and graft choice for the same has been always an area of research. Currently the most preferred grafts include the bone-patellar tendon-bone graft (BPTB) and the hamstring graft. However, there are some significant donor site morbidities associated with these grafts. Thus, we have used peroneus longus tendon as the graft which was found to have similar functional outcomes compared to hamstring graft and assessed functional outcome at the donor site associated with it. Methods: Patients who required a knee ligament reconstruction were selected and Peroneus longus tendon was harvested as graft. The patients were followed up for 12 months post operatively. Functional scoring was done with AOFAS Ankle and Hindfoot scoring and Visual Analogue Scale-Foot and Ankle (VAS-FA) were used. Also, the power of foot eversion and plantar flexion was tested and recorded clinically by MRC grading. Results: 30 patients fulfilled the inclusion criteria (22 male and 08 female patients). Follow up period was 12 months. The mean pre and postoperative AOFAS-AH score was 99.27 ± 0.94 and 99.13 ± 1.01 respectively at 12 months follow up. The mean pre and postoperative VAS-FA score was 98.53 ± 1.38 and 98.00 ±1.34 respectively at 12 months follow up (p value > 0.05). The 12 months postoperative power of eversion and plantar flexion were grade 5 in all patients. Conclusion: There was no significant difference of functional outcome and muscle power was noted postoperatively (at one year follow up) at the donor site following PLT graft harvest. Also, the surgical procedure of graft harvest was simple with less operative time with early wound healing and no complications postoperatively. Thus, we conclude that peroneus longus tendon can be used safely as a graft for ligament reconstruction with no significant donor site morbidities.",,,
Prospective comparative study between peroneus longus tendon autograft and hamstring tendons autograft in single bundle ACL reconstruction,,"Ali M., El-Shafie M., El-Sheikh M., Waly A.",Alexandria Journal of Medicine (2024) 60:1 (355-362). Date of Publication: 2024,2024,2024,"Background: ACL reconstruction is often regarded as the most effective approach of restoring knee stability. Several graft possibilities are available, including (BPTB), four-strand hamstring autografts, quadriceps tendon, and peroneus longus tendon. Each has both advantages and cons. This study compares the effectiveness of peroneus longus and hamstring tendon autografts for single bundle ACL restoration. Patients and Methods: The study involved 60 patients. Thirty of them had their torn anterior cruciate ligaments reconstructed arthroscopically using hamstring tendons, while the other 30 had their ACLs managed arthroscopically with peroneus longus tendon. The follow-up period lasted at least 12 months. Patients were assessed using IKDC score and Lysholm score. Ankle function was assessed using AOFAS score. Results: There was a statistically significant difference in preoperative and postoperative range of motion improvement in each group as an IKDC score item. However, no statistically significant difference existed between both groups. A statistically significant change in Lysholm scores preoperatively and postoperatively in each group was detected, but there was no statistical difference between groups 1 and 2, either in terms of improvement or percentage improvement. The AOFAS score was used also to assess for any donor site morbidity. No significant difference was detected between both ankles range of motion and no ankle joint dysfunction or problems with sports activities. Conclusion: The current study found that the PL tendon autograft might be considered a safe, effective and a technically easy graft option for ACLR. The research shows no substantial difference in postoperative knee stability or graft failure rate between hamstring and peroneus tendons.",,,10.1080/20905068.2024.2413316
A PROSPECTIVE STUDY OF FUNCTIONAL ASSESSMENT OF ANTERIOR CRUCIATE LIGAMENT RECONSTRUCTION USING VARIOUS GRAFTS,,"Yamini G., Niranjan G., Kumar D.V., Kemsarapu R.",International Journal of Academic Medicine and Pharmacy (2024) 6:4 (414-421). Date of Publication: 2024,2024,2024,"Background: The anterior cruciate ligament (ACL) is the primary stabilizer of the knee and prevents the knee from anterior translation. It is also crucial for balancing valgus and rotational stress. An established and often performed surgical treatment with a low morbidity profile and demonstrated success is ACL reconstruction. Objectives: The present study was designed to study the functional assessment of ACL reconstruction using various grafts. Materials and Methods: The study was conducted on 18 patients admitted with clinical and radiological deficiency of ACL, Department of Orthopaedics, Gandhi Hospital, Secunderabad. Functional assessment of ACL reconstruction using various grafts, assess the functional outcome of arthroscopy-assisted anterior cruciate ligament reconstruction with quadrupled semitendinosus tendon graft using endobutton and bioabsorbable interference screw in terms of range of motion, postoperative knee stability, graft site morbidity, subjective knee functions and prospective assessment of functional outcome using tegner lysholm knee scoring system. Results: In our study, the majority of the cases i.e. 14 (77.78%) were in the age group of 21-40 years, followed by 3 (16.66%) cases in the age group 41-60 years. Of 8 cases (44.44%) affected were due to slip and fall. In the present study, hamstring tendon autografts were used in 10 (55.56%) cases, peroneus longus graft was used in 6 (33.33%) cases while bone-patellar tendon-bone autograft was used in 2 (11.11%) cases. Postoperative knee pain was evaluated using a visual analogue scale. In two patients in BPTB, 1 (50%) patient had mild pain while flexing the knee and 1 (50%) patient had experienced no knee pain. Conclusion: In conclusion, the results of our study substantiate the similarities between the grafts found in previous reports. Good or excellent results can be obtained in most ACL reconstructions using hamstring tendon autografts or peroneus longus grafts. BPTB autograft is a better graft for sportspersons with highly intense activities and by taking an oblique incision for harvest of BPTB graft the incidence of anterior knee pain has been reduced to minimal or negligent.",,,10.47009/jamp.2024.6.4.85
Peroneus Longus vs Hamstring Tendon Autografts in ACL Reconstruction: A Comparative Study of 106 Patients’ Outcomes,,"Gök B., Kanar M., Tutak Y.",Medical Science Monitor (2024) 30 Article Number: e945626. Date of Publication: 2024,2024,2024,"Background: Anterior cruciate ligament (ACL) reconstruction commonly uses a hamstring tendon autograft, but the peroneus longus tendon can also be used. This study aimed to compare outcomes of anterior cruciate ligament reconstruction in 106 patients using peroneus longus tendon and hamstring tendon autografts. Material/Methods: ACL repair was performed on 54 patients using a hamstring tendon autograft and 52 patients with a peroneus longus tendon autograft. Knee function was assessed using the International Knee Documentation Committee (IKDC) and Lysholm scores, while the ankle was evaluated using the American Orthopedic Foot and Ankle Score (AOFAS) and the Foot & Ankle Disability Index (FADI) scores. Donor-site morbidity and graft characteristics were compared. Results: There was no difference between the 2 groups in terms of knee IKDC and Lysholm scores (p=0.49, p=0.68, respectively). The diameter of the peroneus longus tendon graft (8.56±0.93) was significantly larger than the hamstring tendon (7.44±0.6) (p<0.001). The peroneus graft harvesting time was significantly shorter (p<0.001). Thigh hypotrophy and donor-site morbidity were significantly higher in the hamstring group (p<0.001 and p=0.006). The donor ankle AOFAS score was 93.46±3.8, and the FADI score was 93.48±4.6. No morbidity associated with the peroneus longus graft was observed. Conclusions: Patients who underwent ACL reconstruction using the peroneus longus tendon experienced faster knee rehabilitation and less donor-site morbidity, such as thigh hypotrophy and knee pain. The peroneus longus tendon, with its larger diameter, fewer graft-related complications, and similar knee scores compared to the hamstring group, is considered a suitable alternative graft source.",,39460374,10.12659/MSM.945626
Comparative Study Between Functional Outcome of Knee with ACL Recontruction Using Hamstring Graft vs Peroneus longus Graft,,"Siddique M.S., Chhutani D., Vatsa A.",Research Journal of Medical Sciences (2024) 18:3 (254-259). Date of Publication: 2024,2024,2024,"Anterior cruciate ligament (ACL) reconstruction is a crucial procedure for managing ACL deficiency, with various autograft options available. Recent interest has focused on the peroneus longus tendon (PLT) as a potential alternative to hamstring tendons (HT) due to its biomechanical properties and potential advantages. However, comparative studies assessing functional outcomes between PLT and HT in ACLR are lacking. We conducted a cross‐sectional study involving 60 ACL injury cases treated with ACL reconstruction using either hamstring or peroneus longus tendon grafts. Patient selection was randomized, and assessments included preoperative planning, surgery under spinal or combined spinal‐epidural anesthesia, and postoperative rehabilitation protocols. Functional scores were assessed using the Lysholm Knee Score and IKDC Score at various follow‐up intervals. Both groups showed favorable outcomes in terms of knee stability and functional scores. There were no statistically significant differences in Lysholm and IKDC scores between the two groups at any time point during the follow‐up period. Additionally, postoperative complications did not significantly differ between the groups. The study findings suggest that ACL reconstruction using peroneus longus tendon autografts yields comparable outcomes to hamstring tendon autografts in terms of knee stability and functional scores. The use of peroneus longus tendon grafts may offer advantages such as larger size, satisfactory ankle function preservation and avoidance of potential complications associated with hamstring graft harvesting. Thus, peroneus longus tendon autografts could be considered a safe and viable option for ACL reconstruction, particularly in specific patient populations showing a preference for this approach.",,,10.59218/makrjms.2024.3.254.259
A PROSPECTIVE STUDY ON THE FUNCTIONAL OUTCOMES OF PRIMARY ANTERIOR CRUCIATE LIGAMENT RECONSTRUCTION TREATED WITH PERONEUS LONGUS AUTOGRAFT,,"Prasad K., Biradar R.K., Patil V.K., Kembhavi R., Prashant K., Khodnapur G.",International Journal of Academic Medicine and Pharmacy (2024) 6:5 (477-481). Date of Publication: 2024,2024,2024,"Background: Anterior cruciate ligament (ACL) injuries are common, especially among young, active individuals. While various autograft options exist for ACL reconstruction, each has associated drawbacks. The peroneus longus tendon has emerged as a promising alternative, but literature on its functional outcomes remains limited. The objective is to evaluate the functional outcomes of primary ACL reconstruction using peroneus longus tendon autograft. Materials and Methods: This prospective study included 31 patients who underwent ACL reconstruction with peroneus longus autograft at BLDE (Deemed to be University) Shri B. M. Patil Medical College, Hospital & Research Centre from August 2022 to January 2024. Patients were followed up for 12-21 months. Functional outcomes were assessed using Lysholm and International Knee Documentation Committee (IKDC) scores preoperatively and at 6 and 12 months postoperatively. Return to pre-injury activity levels and complications were also evaluated. Result: The mean Lysholm score improved from 46.41 ± 6.5 preoperatively to 96.61 ± 3.22 at 12 months postoperatively. The mean IKDC score increased from 41.87 ± 6.91 preoperatively to 91.12 ± 6.86 at 12 months postoperatively. Both improvements were statistically significant (p < 0.001). Twenty-eight patients (91%) returned to their pre-injury activity level, with 20 (64.5%) resuming sports activities. Minor complications were observed in 16.2% of cases, with no major complications requiring revision surgery. Conclusion: ACL reconstruction using peroneus longus tendon autograft demonstrates excellent functional outcomes, high rates of return to pre-injury activity levels, and a low complication rate. These findings suggest that peroneus longus autograft is a viable option for ACL reconstruction, particularly when traditional graft choices are less favorable.",,,10.47009/jamp.2024.6.5.90
